weekday,hour,rows,mae,rmse,bias,error_std,abs_error_p95,abs_error_p99,mean_orders,mean_pred
4,6,150.0,1.6874716522514166,2.494720470309561,0.1430016086612532,2.4989623547729436,5.697427588246276,7.242099745625107,4.846666666666667,4.98966827532792
4,8,659.0,0.9280936562047487,1.4584393055567288,0.29252394660613373,1.4298872312771516,3.4414311754430975,4.9734738702195855,1.763277693474962,2.0558016400810963
4,9,1012.0,1.325737443410793,2.202866378974667,0.3627883921243591,2.1738616572808196,5.025770314941936,7.513029677957185,3.464426877470356,3.827215269594715
4,11,1339.0,1.9381872264074984,3.419231913067876,0.5406061680889749,3.3774859285453274,8.18362890297455,13.031777090523727,6.284540702016431,6.825146870105405
4,15,1338.0,1.2547530871369246,2.0897087517799946,0.31216838571843714,2.067033347539674,4.984697837137799,7.387635388889474,3.412556053811659,3.7247244395300956
4,18,1328.0,1.3264664347113089,2.3402603238092388,0.0913656137094159,2.3393570987054155,5.316483295892926,8.466144976287358,3.5670180722891565,3.6583836859985723
4,21,1120.0,0.809211394129583,1.4342071242895178,0.1699486252047214,1.4247385489805178,3.2055449468937636,5.668051180651777,1.6089285714285715,1.7788771966332928
5,0,90.0,2.638666861906216,4.204755423810138,1.371300415141744,3.9971272002517964,10.790608484761407,13.690032712889817,5.055555555555555,6.426855970697299
5,6,148.0,1.4050303662687953,2.0277226743876224,0.5850858598266573,1.9480696874744958,4.372706026321222,5.448570609447138,3.222972972972973,3.8080588327996296
5,8,603.0,1.0280767763554086,1.6771934410719627,-0.06584863279840211,1.6772916604656154,3.6603421316651383,5.836857343988816,2.427860696517413,2.362012063719011
5,9,1011.0,1.5209151900683706,2.5975905831829866,0.41102972837218466,2.566134212713979,6.033810063267907,9.219075753854629,4.275964391691395,4.686994120063579
5,11,1333.0,1.7392130169125395,3.2266244376428905,0.633884431511443,3.164934482009044,7.590340706625548,12.963616468625045,5.9894973743435855,6.623381805855029
5,15,1329.0,1.3249573083410735,2.291058808253171,0.3397591500786353,2.2665788715245516,5.309779504705136,8.769073155319393,3.201655379984951,3.541414530063587
5,18,1318.0,1.2856800753282394,2.205711189060664,0.2693674328411838,2.1900324349358624,5.378305243210919,8.287106048839116,3.3019726858877085,3.5713401187288922
5,21,1212.0,0.7965409108202414,1.368254330382124,0.18302621828542343,1.3565174466302505,3.1504733369866766,4.9571111514216,1.4834983498349834,1.6665245681204068
6,0,85.0,2.7468255446200245,4.140102107044284,1.4850459302596541,3.887529120317514,10.7045586199729,12.26617059305184,6.011764705882353,7.496810636142006
6,6,160.0,1.4180258455922061,2.2022432422366363,0.9168812536740495,2.0085863647205757,5.2860789873758565,6.7556264629851475,2.4625,3.3793812536740497
6,8,652.0,1.1066278922280248,1.7683282039059156,0.42976567258257736,1.7166262680358215,3.7786409611191236,6.515097196072311,1.9217791411042944,2.3515448136868717
6,9,1088.0,1.5200402168050955,2.5782282604732227,0.6036301300390183,2.5077224045554902,5.845563488567068,9.326177588663448,4.015625,4.6192551300390186
6,11,1438.0,1.8019793626723088,3.3500333584433264,0.6586267373002574,3.285794010688442,8.01182794535302,12.600365886499445,5.911682892906815,6.570309630207073
6,15,1431.0,1.3349477958613896,2.2630430303558815,0.36661026129971624,2.2339310774145393,5.050575174804269,8.02292071144924,3.1900768693221524,3.5566871306218686
6,18,1419.0,1.2779817247807965,2.2158086862117545,0.17899378619042725,2.2093458878503873,5.240997956253957,7.67912638332689,3.4256518675123324,3.60464565370276
6,21,1190.0,0.7538295210630471,1.3370344848093343,0.3031675967078169,1.3027573914144244,3.064006114302238,5.052967843816647,1.3638655462184874,1.6670331429263043
