location_id,segment_datetime,segment,time_segment,orders_count,prediction,error,abs_error,peak_threshold
480,2026-02-21 04:00:00+03:00,low,lunch,0.0,3.259299140922164,3.259299140922164,3.259299140922164,0.0
480,2026-02-28 04:00:00+03:00,low,lunch,0.0,3.259299140922164,3.259299140922164,3.259299140922164,0.0
480,2026-04-10 06:00:00+03:00,low,dinner,0.0,3.257549525183325,3.257549525183325,3.257549525183325,0.0
478,2026-02-18 04:00:00+03:00,low,lunch,0.0,3.2566661555513368,3.2566661555513368,3.2566661555513368,0.0
115,2026-01-27 04:00:00+03:00,medium,lunch,14.0,10.746398980100363,-3.2536010198996372,3.2536010198996372,11.0
478,2026-03-20 03:00:00+03:00,low,morning,0.0,3.2498658082251213,3.2498658082251213,3.2498658082251213,0.0
516,2026-04-12 03:00:00+03:00,low,morning,7.0,3.7508814920075277,-3.2491185079924723,3.2491185079924723,0.0
123,2026-03-18 04:00:00+03:00,medium,lunch,13.0,16.248804828633457,3.2488048286334568,3.2488048286334568,11.0
480,2026-04-02 04:00:00+03:00,low,lunch,0.0,3.2484949742972566,3.2484949742972566,3.2484949742972566,0.0
7,2026-03-13 02:00:00+03:00,high,early_morning,24.0,27.24832003130635,3.248320031306349,3.248320031306349,24.0
483,2026-04-10 00:00:00+03:00,low,deep_night,0.0,3.2447348945859127,3.2447348945859127,3.2447348945859127,0.0
483,2026-04-03 00:00:00+03:00,low,deep_night,0.0,3.2447348945859127,3.2447348945859127,3.2447348945859127,0.0
482,2026-04-03 00:00:00+03:00,low,deep_night,0.0,3.2447348945859127,3.2447348945859127,3.2447348945859127,0.0
67,2026-02-22 02:00:00+03:00,low,early_morning,0.0,3.2377902615404555,3.2377902615404555,3.2377902615404555,0.0
142,2026-02-24 05:00:00+03:00,medium,afternoon,12.0,8.764689787788775,-3.2353102122112247,3.2353102122112247,11.0
482,2026-04-08 00:00:00+03:00,low,deep_night,0.0,3.234952618952229,3.234952618952229,3.234952618952229,0.0
483,2026-04-01 00:00:00+03:00,low,deep_night,0.0,3.234952618952229,3.234952618952229,3.234952618952229,0.0
482,2026-04-01 00:00:00+03:00,low,deep_night,0.0,3.234952618952229,3.234952618952229,3.234952618952229,0.0
480,2026-04-05 04:00:00+03:00,low,lunch,1.0,4.2230344503836905,3.2230344503836905,3.2230344503836905,0.0
7,2026-01-29 02:00:00+03:00,high,early_morning,26.0,22.778049392004913,-3.221950607995087,3.221950607995087,24.0
480,2026-03-03 04:00:00+03:00,low,lunch,1.0,4.221867111728705,3.221867111728705,3.221867111728705,0.0
12,2026-02-10 02:00:00+03:00,medium,early_morning,11.0,7.787111789223464,-3.212888210776536,3.212888210776536,11.0
480,2026-03-31 05:00:00+03:00,low,afternoon,0.0,3.211931614777859,3.211931614777859,3.211931614777859,0.0
478,2026-03-24 05:00:00+03:00,low,afternoon,0.0,3.211931614777859,3.211931614777859,3.211931614777859,0.0
67,2026-02-25 02:00:00+03:00,low,early_morning,0.0,3.2075227702035427,3.2075227702035427,3.2075227702035427,0.0
7,2026-04-11 02:00:00+03:00,high,early_morning,30.0,26.79364973705678,-3.2063502629432215,3.2063502629432215,24.0
478,2026-02-08 07:00:00+03:00,low,late_evening,0.0,3.2018576421403804,3.2018576421403804,3.2018576421403804,0.0
434,2026-03-18 05:00:00+03:00,medium,afternoon,11.0,14.19686663891967,3.196866638919669,3.196866638919669,11.0
12,2026-04-06 07:00:00+03:00,medium,late_evening,12.0,8.805103801972406,-3.1948961980275943,3.1948961980275943,11.0
123,2026-02-25 04:00:00+03:00,medium,lunch,19.0,15.806143830209304,-3.1938561697906955,3.1938561697906955,11.0
11,2026-02-24 00:00:00+03:00,medium,deep_night,15.0,18.18977118943812,3.189771189438119,3.189771189438119,11.0
12,2026-03-28 04:00:00+03:00,medium,lunch,17.0,13.81162298443154,-3.1883770155684594,3.1883770155684594,11.0
434,2026-04-02 07:00:00+03:00,medium,late_evening,11.0,7.818267133673043,-3.181732866326957,3.181732866326957,11.0
123,2026-02-23 04:00:00+03:00,medium,lunch,12.0,15.176304372423768,3.1763043724237683,3.1763043724237683,11.0
480,2026-03-15 05:00:00+03:00,low,afternoon,1.0,4.174249669175058,3.174249669175058,3.174249669175058,0.0
481,2026-04-11 05:00:00+03:00,low,afternoon,3.0,6.165556155209602,3.165556155209602,3.165556155209602,0.0
12,2026-04-09 05:00:00+03:00,medium,afternoon,20.0,16.83476621199364,-3.1652337880063612,3.1652337880063612,11.0
12,2026-02-10 05:00:00+03:00,medium,afternoon,14.0,17.163217580219815,3.163217580219815,3.163217580219815,11.0
115,2026-02-20 04:00:00+03:00,medium,lunch,15.0,11.83934999868582,-3.1606500013141794,3.1606500013141794,11.0
478,2026-02-22 04:00:00+03:00,low,lunch,0.0,3.1585652657203234,3.1585652657203234,3.1585652657203234,0.0
12,2026-02-24 07:00:00+03:00,medium,late_evening,12.0,8.84213613896173,-3.1578638610382708,3.1578638610382708,11.0
481,2026-03-27 05:00:00+03:00,low,afternoon,0.0,3.1574166142238496,3.1574166142238496,3.1574166142238496,0.0
483,2026-04-07 00:00:00+03:00,low,deep_night,0.0,3.1495029155095966,3.1495029155095966,3.1495029155095966,0.0
482,2026-04-07 00:00:00+03:00,low,deep_night,0.0,3.1495029155095966,3.1495029155095966,3.1495029155095966,0.0
481,2026-04-04 07:00:00+03:00,low,late_evening,0.0,3.1482580822064326,3.1482580822064326,3.1482580822064326,0.0
123,2026-03-19 05:00:00+03:00,medium,afternoon,24.0,20.852213552536615,-3.1477864474633854,3.1477864474633854,11.0
478,2026-04-13 05:00:00+03:00,low,afternoon,1.0,4.145549843152642,3.145549843152642,3.145549843152642,0.0
7,2026-02-11 02:00:00+03:00,high,early_morning,31.0,27.85629519268742,-3.143704807312581,3.143704807312581,24.0
115,2026-04-04 02:00:00+03:00,medium,early_morning,12.0,15.135055247553076,3.135055247553076,3.135055247553076,11.0
434,2026-02-13 07:00:00+03:00,medium,late_evening,11.0,7.866596673025415,-3.1334033269745847,3.1334033269745847,11.0
478,2026-02-07 07:00:00+03:00,low,late_evening,1.0,4.131679390760765,3.131679390760765,3.131679390760765,0.0
483,2026-04-12 02:00:00+03:00,low,early_morning,0.0,3.1310973415511203,3.1310973415511203,3.1310973415511203,0.0
483,2026-04-05 02:00:00+03:00,low,early_morning,0.0,3.1310973415511203,3.1310973415511203,3.1310973415511203,0.0
482,2026-04-05 02:00:00+03:00,low,early_morning,0.0,3.1310973415511203,3.1310973415511203,3.1310973415511203,0.0
11,2026-02-25 02:00:00+03:00,medium,early_morning,12.0,15.129075821758326,3.1290758217583257,3.1290758217583257,11.0
115,2026-03-23 04:00:00+03:00,medium,lunch,15.0,11.872614480302937,-3.1273855196970626,3.1273855196970626,11.0
115,2026-02-25 05:00:00+03:00,medium,afternoon,13.0,16.126493019647846,3.126493019647846,3.126493019647846,11.0
478,2026-03-20 06:00:00+03:00,low,dinner,1.0,4.124999839105417,3.124999839105417,3.124999839105417,0.0
67,2026-02-26 02:00:00+03:00,low,early_morning,0.0,3.1214504156436824,3.1214504156436824,3.1214504156436824,0.0
67,2026-02-24 02:00:00+03:00,low,early_morning,0.0,3.1214504156436824,3.1214504156436824,3.1214504156436824,0.0
115,2026-04-09 07:00:00+03:00,medium,late_evening,11.0,7.880161011195786,-3.119838988804214,3.119838988804214,11.0
480,2026-03-15 06:00:00+03:00,low,dinner,0.0,3.118953857641914,3.118953857641914,3.118953857641914,0.0
478,2026-02-20 05:00:00+03:00,low,afternoon,0.0,3.116819771520204,3.116819771520204,3.116819771520204,0.0
123,2026-03-12 05:00:00+03:00,medium,afternoon,25.0,21.883565675254978,-3.116434324745022,3.116434324745022,11.0
481,2026-04-10 05:00:00+03:00,low,afternoon,1.0,4.113216791164676,3.1132167911646764,3.1132167911646764,0.0
123,2026-03-09 04:00:00+03:00,medium,lunch,18.0,14.889050007928175,-3.1109499920718253,3.1109499920718253,11.0
480,2026-03-06 07:00:00+03:00,low,late_evening,0.0,3.1096443058574037,3.1096443058574037,3.1096443058574037,0.0
123,2026-02-21 05:00:00+03:00,medium,afternoon,17.0,13.891025958923441,-3.108974041076559,3.108974041076559,11.0
10,2026-04-07 05:00:00+03:00,medium,afternoon,16.0,12.90011290000956,-3.0998870999904398,3.0998870999904398,11.0
8,2026-04-11 02:00:00+03:00,high,early_morning,28.0,24.907612149782484,-3.0923878502175164,3.0923878502175164,24.0
