location_id,segment_datetime,segment,time_segment,orders_count,prediction,error,abs_error,peak_threshold
480,2026-02-24 04:00:00+03:00,low,lunch,4.0,0.0,-4.0,4.0,1.0
478,2026-02-17 04:00:00+03:00,low,lunch,4.0,0.0,-4.0,4.0,1.0
10,2026-02-16 06:00:00+03:00,medium,dinner,11.0,7.009431383778056,-3.9905686162219443,3.9905686162219443,10.0
21,2026-02-01 04:00:00+03:00,high,lunch,28.0,24.01175954614871,-3.98824045385129,3.98824045385129,25.0
516,2026-04-10 05:00:00+03:00,low,afternoon,1.0,4.985785920247897,3.9857859202478974,3.9857859202478974,1.0
11,2026-03-15 00:00:00+03:00,medium,deep_night,26.0,29.9822376689782,3.9822376689782004,3.9822376689782004,10.0
18,2026-03-01 04:00:00+03:00,medium,lunch,22.0,18.02608719365296,-3.973912806347041,3.973912806347041,10.0
479,2026-04-08 01:00:00+03:00,medium,opening,11.0,7.028829367180402,-3.9711706328195984,3.9711706328195984,10.0
26,2026-02-09 04:00:00+03:00,medium,lunch,13.0,16.966986915387963,3.966986915387963,3.966986915387963,10.0
25,2026-02-19 05:00:00+03:00,medium,afternoon,14.0,10.034774329274082,-3.9652256707259177,3.9652256707259177,10.0
38,2026-02-01 06:00:00+03:00,medium,dinner,13.0,9.040776497742804,-3.9592235022571955,3.9592235022571955,10.0
16,2026-04-13 06:00:00+03:00,medium,dinner,10.0,6.043912224148678,-3.956087775851322,3.956087775851322,10.0
18,2026-03-04 04:00:00+03:00,medium,lunch,17.0,13.047842507968147,-3.952157492031853,3.952157492031853,10.0
25,2026-02-03 04:00:00+03:00,medium,lunch,15.0,18.95077199716031,3.9507719971603095,3.9507719971603095,10.0
47,2026-02-04 04:00:00+03:00,medium,lunch,10.0,6.051242198676667,-3.9487578013233327,3.9487578013233327,10.0
434,2026-03-12 03:00:00+03:00,medium,morning,10.0,6.0522943586838815,-3.9477056413161185,3.9477056413161185,10.0
25,2026-03-24 04:00:00+03:00,medium,lunch,21.0,17.05412155085751,-3.9458784491424908,3.9458784491424908,10.0
11,2026-03-17 01:00:00+03:00,medium,opening,12.0,15.935375980356977,3.9353759803569766,3.9353759803569766,10.0
25,2026-02-17 04:00:00+03:00,medium,lunch,21.0,17.067332097980746,-3.9326679020192543,3.9326679020192543,10.0
128,2026-02-26 04:00:00+03:00,high,lunch,29.0,25.06799760809679,-3.932002391903211,3.932002391903211,25.0
478,2026-04-11 04:00:00+03:00,low,lunch,7.0,3.0696054003493978,-3.9303945996506022,3.9303945996506022,1.0
434,2026-03-26 06:00:00+03:00,medium,dinner,10.0,13.926178041748829,3.9261780417488286,3.9261780417488286,10.0
21,2026-03-29 04:00:00+03:00,high,lunch,28.0,24.07579708394516,-3.9242029160548384,3.9242029160548384,25.0
128,2026-04-05 04:00:00+03:00,high,lunch,26.0,22.077566851759144,-3.922433148240856,3.922433148240856,25.0
11,2026-02-20 00:00:00+03:00,medium,deep_night,19.0,22.917182247292395,3.917182247292395,3.917182247292395,10.0
