iter	Passed	Remaining
1547	43679	12754
1548	43706	12725
1549	43732	12696
1550	43759	12667
1551	43786	12639
1552	43814	12611
1553	43841	12582
1554	43867	12553
1555	43890	12523
1556	43916	12495
1557	43942	12466
1558	43965	12436
1559	43992	12408
1560	44022	12380
1561	44050	12352
1562	44075	12323
1563	44104	12295
1564	44131	12266
1565	44161	12239
1566	44186	12209
1567	44215	12181
1568	44240	12152
1569	44265	12123
1570	44296	12096
1571	44323	12067
1572	44346	12038
1573	44375	12010
1574	44401	11981
1575	44433	11954
1576	44462	11926
1577	44488	11897
1578	44518	11869
1579	44547	11841
1580	44580	11814
1581	44618	11789
1582	44657	11763
1583	44687	11736
1584	44715	11707
1585	44749	11681
1586	44772	11651
1587	44805	11624
1588	44832	11596
1589	44863	11568
1590	44891	11540
1591	44917	11511
1592	44946	11483
1593	44973	11454
1594	44999	11426
1595	45024	11397
1596	45056	11369
1597	45083	11341
1598	45109	11312
1599	45135	11283
1600	45163	11255
1601	45193	11227
1602	45223	11200
1603	45251	11171
1604	45275	11142
1605	45300	11113
1606	45318	11082
1607	45343	11053
1608	45371	11025
1609	45396	10996
1610	45419	10967
1611	45443	10938
1612	45469	10909
1613	45495	10880
1614	45519	10851
1615	45548	10823
1616	45574	10794
1617	45600	10766
1618	45627	10737
1619	45652	10708
1620	45680	10680
1621	45704	10651
1622	45729	10622
1623	45752	10592
1624	45778	10564
1625	45807	10536
1626	45835	10507
1627	45864	10480
1628	45889	10451
1629	45917	10423
1630	45941	10393
1631	45971	10366
1632	45997	10337
1633	46025	10309
1634	46049	10280
1635	46073	10251
1636	46102	10223
1637	46129	10194
1638	46152	10165
1639	46177	10136
1640	46203	10107
1641	46231	10079
1642	46259	10051
1643	46285	10022
1644	46312	9994
1645	46340	9966
1646	46367	9937
1647	46397	9910
1648	46427	9882
1649	46456	9854
1650	46487	9826
1651	46512	9798
1652	46537	9769
1653	46564	9740
1654	46592	9712
1655	46618	9684
1656	46644	9655
1657	46671	9627
1658	46698	9598
1659	46723	9569
1660	46745	9540
1661	46773	9512
1662	46799	9483
1663	46828	9455
1664	46851	9426
